Time[s], Channel 0
-0.100000000000000, 0
0.000000000000000, 1
0.002035000000000, 0
0.004000000000000, 1
0.005940000000000, 0
0.007905000000000, 1
0.009850000000000, 0
0.013765000000000, 1
0.015710000000000, 0
0.017675000000000, 1
0.019610000000000, 0
0.023530000000000, 1
0.025475000000000, 0
0.029395000000000, 1
0.031330000000000, 0
0.035255000000000, 1
0.037190000000000, 0
0.041120000000000, 1
0.043055000000000, 0
0.046975000000000, 1
0.048915000000000, 0
0.052835000000000, 1
0.054770000000000, 0
0.056740000000000, 1
0.058680000000000, 0
0.060650000000000, 1
0.062590000000000, 0
0.064560000000000, 1
0.066495000000000, 0
0.068475000000000, 1
0.070395000000000, 0
0.074320000000000, 1
0.076260000000000, 0
0.078225000000000, 1
0.080170000000000, 0
0.082135000000000, 1
0.084070000000000, 0
0.086040000000000, 1
0.087980000000000, 0
0.091905000000000, 1
0.093845000000000, 0
0.095810000000000, 1
0.097745000000000, 0
0.099710000000000, 1
0.101655000000000, 0
0.105575000000000, 1
0.107510000000000, 0
0.109475000000000, 1
0.111420000000000, 0
0.113390000000000, 1
0.115330000000000, 0
0.117300000000000, 1
0.119240000000000, 0
0.121210000000000, 1
0.123135000000000, 0
0.125110000000000, 1
0.127055000000000, 0
0.130965000000000, 1
0.132910000000000, 0
0.136830000000000, 1
0.138765000000000, 0
0.142705000000000, 1
0.144625000000000, 0
0.148550000000000, 1
0.150490000000000, 0
0.154405000000000, 1
0.156345000000000, 0
0.158315000000000, 1
0.160255000000000, 0
0.162220000000000, 1
0.164155000000000, 0
0.168080000000000, 1
0.170020000000000, 0
0.171985000000000, 1
0.173930000000000, 0
0.175895000000000, 1
0.177830000000000, 0
0.181760000000000, 1
0.183695000000000, 0
0.187615000000000, 1
0.189555000000000, 0
0.193475000000000, 1
0.195420000000000, 0
0.197385000000000, 1
0.199320000000000, 0
0.203240000000000, 1
0.205175000000000, 0
0.209105000000000, 1
0.211040000000000, 0
0.213005000000000, 1
0.214955000000000, 0
0.218870000000000, 1
0.220805000000000, 0
0.223325000000000, 1
0.225200000000000, 0
0.227165000000000, 1
0.229110000000000, 0
0.231075000000000, 1
0.233010000000000, 0
0.236940000000000, 1
0.238880000000000, 0
0.240840000000000, 1
0.242790000000000, 0
0.246705000000000, 1
0.248640000000000, 0
0.252560000000000, 1
